customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,customer_segment
1073,634.0,1,7664.77,1,1,1,Lost
645,632.0,1,6809.21,1,1,1,Lost
3863,631.0,1,6077.32,1,1,1,Lost
3472,629.0,1,1299.28,1,1,1,Lost
3480,629.0,1,8307.7,1,1,1,Lost
3201,627.0,1,8117.78,1,1,1,Lost
4394,623.0,1,6871.13,1,1,1,Lost
4200,620.0,1,4109.14,1,1,1,Lost
3766,618.0,2,14413.05,1,2,2,Lost
1444,616.0,3,25216.53,1,2,3,Lost
4140,615.0,1,2205.2,1,1,1,Lost
2570,614.0,1,12488.92,1,1,2,Lost
3365,613.0,1,2657.16,1,1,1,Lost
2712,609.0,1,2797.91,1,1,1,Lost
4541,607.0,1,1035.92,1,1,1,Lost
2686,607.0,1,2575.16,1,1,1,Lost
2258,605.0,2,9653.4,1,1,1,Lost
1849,605.0,2,12833.87,1,2,2,Lost
4625,603.0,1,5706.87,1,1,1,Lost
506,603.0,1,7113.06,1,1,1,Lost
1025,602.0,1,691.14,1,1,1,Lost
4489,601.0,2,12779.140000000001,1,2,2,Lost
2072,600.0,1,10549.07,1,1,1,Lost
1030,599.0,1,5703.43,1,1,1,Lost
3828,599.0,1,7698.91,1,1,1,Lost
3698,599.0,1,8565.01,1,1,1,Lost
234,598.0,2,10793.7,1,1,2,Lost
201,596.0,2,4575.58,1,1,1,Lost
2169,594.0,1,4351.17,1,1,1,Lost
357,593.0,1,7264.92,1,1,1,Lost
2048,588.0,1,4884.87,1,1,1,Lost
3305,587.0,1,7663.17,1,1,1,Lost
128,586.0,1,5902.85,1,1,1,Lost
132,585.0,1,4286.44,1,1,1,Lost
1436,585.0,1,4323.56,1,1,1,Lost
4784,585.0,2,9431.52,1,1,1,Lost
3231,584.0,1,5873.32,1,1,1,Lost
4812,584.0,2,14922.68,1,2,2,Lost
4139,583.0,1,4814.34,1,1,1,Lost
2343,583.0,2,8505.07,1,1,1,Lost
3416,581.0,2,11615.849999999999,1,1,2,Lost
1963,580.0,1,10474.5,1,1,1,Lost
3508,579.0,1,4897.08,1,1,1,Lost
2069,578.0,1,8272.02,1,1,1,Lost
4126,578.0,2,11092.93,1,1,2,Lost
4585,578.0,3,13444.17,1,2,2,Lost
1171,577.0,1,3620.77,1,1,1,Lost
1297,577.0,1,7306.47,1,1,1,Lost
3785,574.0,1,2919.22,1,1,1,Lost
4935,574.0,1,5148.1,1,1,1,Lost
1714,572.0,2,15276.46,1,2,2,Lost
1783,571.0,2,2621.19,1,1,1,Lost
1924,569.0,2,5521.48,1,1,1,Lost
3295,569.0,2,12013.720000000001,1,2,2,Lost
4924,568.0,3,14781.75,1,2,2,Lost
4835,566.0,2,9775.81,1,1,1,Lost
31,563.0,1,8487.51,1,1,1,Lost
2125,563.0,2,8774.95,1,1,1,Lost
3664,561.0,1,4994.65,1,1,1,Lost
4159,560.0,1,223.97,1,1,1,Lost
2646,560.0,2,7835.610000000001,1,1,1,Lost
773,558.0,4,17854.52,1,2,2,Lost
4582,556.0,2,18103.6,1,2,2,Lost
2714,553.0,1,1749.61,1,1,1,Lost
3307,553.0,2,5545.1900000000005,1,1,1,Lost
2257,552.0,1,5490.03,1,1,1,Lost
3343,550.0,1,10084.89,1,1,1,Lost
3471,547.0,1,2415.6,1,1,1,Lost
1653,547.0,2,15513.93,1,2,2,Lost
1977,545.0,1,7427.06,1,1,1,Lost
1047,544.0,1,9964.98,1,1,1,Lost
600,542.0,1,4731.7,1,1,1,Lost
1545,542.0,1,12475.17,1,1,2,Lost
1583,541.0,1,2768.37,1,1,1,Lost
2592,540.0,1,6315.42,1,1,1,Lost
4415,539.0,2,7582.070000000001,1,1,1,Lost
183,538.0,1,2511.48,1,1,1,Lost
3950,536.0,1,8842.33,1,1,1,Lost
718,535.0,1,2099.08,1,1,1,Lost
2331,535.0,1,3076.37,1,1,1,Lost
3696,532.0,1,1831.0,1,1,1,Lost
2311,531.0,1,187.32,1,1,1,Lost
2579,531.0,1,9907.59,1,1,1,Lost
4435,531.0,2,7682.35,1,1,1,Lost
772,530.0,2,6840.73,1,1,1,Lost
3648,529.0,1,5188.82,1,1,1,Lost
4660,529.0,2,15145.89,1,2,2,Lost
1519,528.0,2,7820.17,1,1,1,Lost
3591,527.0,3,12602.3,1,2,2,Lost
1573,525.0,1,3014.24,1,1,1,Lost
3071,525.0,1,5395.32,1,1,1,Lost
2134,525.0,1,10009.96,1,1,1,Lost
4462,525.0,2,10433.65,1,1,1,Lost
1773,525.0,2,10559.77,1,1,1,Lost
3611,523.0,1,1241.22,1,1,1,Lost
3958,523.0,1,1462.89,1,1,1,Lost
4634,522.0,1,7299.74,1,1,1,Lost
3323,522.0,1,9121.58,1,1,1,Lost
2406,521.0,3,8355.51,1,2,1,Lost
2120,519.0,1,5901.84,1,1,1,Lost
2248,518.0,2,7047.73,1,1,1,Lost
2636,517.0,2,17126.77,1,2,2,Lost
3520,516.0,1,2714.68,1,1,1,Lost
3666,516.0,2,6693.65,1,1,1,Lost
2607,515.0,1,9383.48,1,1,1,Lost
2464,514.0,2,10027.21,1,1,1,Lost
1672,512.0,3,24467.86,1,2,3,Lost
41,512.0,4,8885.85,1,2,1,Lost
3569,510.0,1,4837.61,1,1,1,Lost
4704,510.0,2,7783.47,1,1,1,Lost
2838,509.0,1,2632.62,1,1,1,Lost
4131,507.0,1,4770.78,1,1,1,Lost
4961,506.0,1,2338.79,1,1,1,Lost
4605,506.0,1,5190.25,1,1,1,Lost
4929,505.0,1,9494.36,1,1,1,Lost
776,505.0,2,15819.82,1,2,2,Lost
4931,504.0,1,3252.5,1,1,1,Lost
2263,504.0,1,4007.0,1,1,1,Lost
1658,504.0,1,4257.03,1,1,1,Lost
4267,504.0,1,6471.72,1,1,1,Lost
3269,504.0,1,6668.59,1,1,1,Lost
61,504.0,2,17687.309999999998,1,2,2,Lost
2199,503.0,1,2194.39,1,1,1,Lost
3931,503.0,1,6556.16,1,1,1,Lost
2459,503.0,2,3632.8,1,1,1,Lost
509,503.0,2,7496.12,1,1,1,Lost
621,502.0,1,8076.93,1,1,1,Lost
2047,502.0,2,9286.86,1,1,1,Lost
3690,501.0,1,8392.74,1,1,1,Lost
4336,499.0,1,12438.27,1,1,2,Lost
2128,498.0,1,1813.02,1,1,1,Lost
3088,498.0,4,19578.54,1,2,2,Lost
4123,497.0,1,3068.05,1,1,1,Lost
777,496.0,1,2542.24,1,1,1,Lost
343,496.0,1,7379.61,1,1,1,Lost
2479,496.0,2,6913.43,1,1,1,Lost
3221,496.0,2,13185.08,1,2,2,Lost
4863,495.0,2,6152.740000000001,1,1,1,Lost
527,492.0,1,2769.0,1,1,1,Lost
1781,492.0,1,4176.93,1,1,1,Lost
288,490.0,1,5786.67,1,1,1,Lost
2843,489.0,2,10634.43,1,1,1,Lost
2927,488.0,1,1643.43,1,1,1,Lost
2280,487.0,2,20721.989999999998,1,2,2,Lost
1105,487.0,3,18260.71,1,2,2,Lost
823,486.0,1,5653.05,1,1,1,Lost
2540,486.0,2,14277.85,1,2,2,Lost
615,485.0,1,4729.74,1,1,1,Lost
2189,485.0,4,15637.49,1,2,2,Lost
32,484.0,1,6840.18,1,1,1,Lost
4831,484.0,5,29320.98,1,3,3,At Risk (High Value)
2111,483.0,1,4113.42,1,1,1,Lost
735,483.0,1,5512.25,1,1,1,Lost
4463,482.0,1,1566.75,1,1,1,Lost
1856,482.0,4,19533.58,1,2,2,Lost
4010,481.0,1,830.62,1,1,1,Lost
746,481.0,1,1628.02,1,1,1,Lost
3650,480.0,1,4225.06,1,1,1,Lost
97,480.0,1,4939.07,1,1,1,Lost
3278,480.0,1,7535.88,1,1,1,Lost
3748,480.0,1,9024.81,1,1,1,Lost
331,480.0,2,11405.88,1,1,2,Lost
126,479.0,2,10763.199999999999,1,1,2,Lost
2062,479.0,3,13644.2,1,2,2,Lost
1945,479.0,4,17991.0,1,2,2,Lost
3241,477.0,4,10928.31,1,2,2,Lost
3868,476.0,2,6337.77,1,1,1,Lost
317,475.0,1,3862.74,1,1,1,Lost
475,475.0,1,4134.82,1,1,1,Lost
2963,475.0,1,12224.31,1,1,2,Lost
2166,473.0,2,28093.09,1,2,3,Lost
4561,472.0,1,2499.85,1,1,1,Lost
849,472.0,1,3629.86,1,1,1,Lost
4282,471.0,1,2988.41,1,1,1,Lost
4950,471.0,4,24497.54,1,2,3,Lost
925,469.0,1,6359.73,1,1,1,Lost
3342,469.0,1,6666.36,1,1,1,Lost
3178,469.0,3,11328.439999999999,1,2,2,Lost
321,467.0,1,6144.43,1,1,1,Lost
3920,467.0,2,14814.59,1,2,2,Lost
1355,467.0,4,22771.32,1,2,2,Lost
3902,466.0,1,1175.73,1,1,1,Lost
2172,465.0,3,21773.25,1,2,2,Lost
3417,465.0,4,20520.52,1,2,2,Lost
3326,463.0,1,9350.21,1,1,1,Lost
1106,463.0,2,15751.26,1,2,2,Lost
2615,462.0,1,5551.98,1,1,1,Lost
4407,461.0,2,6776.45,1,1,1,Lost
119,460.0,1,3870.66,1,1,1,Lost
4636,460.0,1,10407.4,1,1,1,Lost
3179,459.0,1,4046.17,1,1,1,Lost
2733,458.0,1,7817.07,1,1,1,Lost
2019,458.0,1,9265.92,1,1,1,Lost
55,458.0,2,2695.06,1,1,1,Lost
356,455.0,2,13696.14,1,2,2,Lost
1190,455.0,3,16764.23,1,2,2,Lost
4094,454.0,2,3766.59,1,1,1,Lost
2681,453.0,1,7081.99,1,1,1,Lost
1749,453.0,4,23800.58,1,2,3,Lost
311,451.0,1,6342.72,1,1,1,Lost
4984,450.0,2,15582.779999999999,1,2,2,Lost
2782,449.0,1,10291.03,1,1,1,Lost
2137,449.0,2,5708.43,1,1,1,Lost
1491,448.0,1,1419.01,1,1,1,Lost
3843,448.0,1,6105.26,1,1,1,Lost
2978,447.0,1,6536.63,1,1,1,Lost
2779,447.0,2,5489.88,1,1,1,Lost
1497,446.0,3,20932.5,1,2,2,Lost
309,445.0,2,8873.81,1,1,1,Lost
4342,444.0,1,1733.58,1,1,1,Lost
4684,443.0,2,10334.949999999999,1,1,1,Lost
2355,443.0,2,14257.43,1,2,2,Lost
3442,442.0,1,3259.6,1,1,1,Lost
430,441.0,1,577.86,1,1,1,Lost
2025,441.0,1,8391.68,1,1,1,Lost
4641,441.0,1,8445.78,1,1,1,Lost
783,440.0,3,20583.95,1,2,2,Lost
3150,439.0,1,1208.33,1,1,1,Lost
3870,439.0,2,8389.5,1,1,1,Lost
4967,438.0,1,3148.62,1,1,1,Lost
3141,438.0,1,5771.28,1,1,1,Lost
4791,438.0,3,15966.15,1,2,2,Lost
3990,437.0,1,8162.73,1,1,1,Lost
2912,437.0,4,34105.68,1,3,3,At Risk (High Value)
425,436.0,1,7276.85,1,1,1,Lost
2542,436.0,2,7875.98,1,1,1,Lost
1887,435.0,5,32970.32,1,3,3,At Risk (High Value)
4424,434.0,1,882.96,1,1,1,Lost
4708,434.0,1,6542.4,1,1,1,Lost
3277,434.0,2,8535.039999999999,1,1,1,Lost
4019,434.0,6,27779.97,1,3,3,At Risk (High Value)
2875,433.0,1,1701.94,1,1,1,Lost
713,433.0,1,4257.03,1,1,1,Lost
878,433.0,2,9799.21,1,1,1,Lost
4309,433.0,2,16232.93,1,2,2,Lost
4627,433.0,4,20676.87,1,2,2,Lost
382,433.0,4,23717.08,1,2,3,Lost
533,433.0,6,32541.65,1,3,3,At Risk (High Value)
4604,432.0,1,6838.7,1,1,1,Lost
433,431.0,2,12356.220000000001,1,2,2,Lost
1339,431.0,2,12553.179999999998,1,2,2,Lost
3154,431.0,4,5816.45,1,2,1,Lost
2931,430.0,1,7530.74,1,1,1,Lost
3431,429.0,2,3188.12,1,1,1,Lost
883,428.0,2,2918.76,1,1,1,Lost
1189,428.0,3,16067.34,1,2,2,Lost
4796,428.0,4,23484.7,1,2,3,Lost
839,427.0,1,1004.45,1,1,1,Lost
4520,427.0,1,1017.58,1,1,1,Lost
1960,427.0,1,5871.36,1,1,1,Lost
292,427.0,2,2817.09,1,1,1,Lost
614,427.0,2,3043.56,1,1,1,Lost
4588,427.0,2,14194.73,1,2,2,Lost
3937,427.0,4,13108.16,1,2,2,Lost
3369,426.0,1,6678.42,1,1,1,Lost
1966,426.0,1,7001.05,1,1,1,Lost
3006,425.0,4,16530.6,1,2,2,Lost
2753,424.0,1,3866.7,1,1,1,Lost
4591,424.0,1,4258.74,1,1,1,Lost
1584,424.0,1,4466.54,1,1,1,Lost
4695,424.0,1,5624.85,1,1,1,Lost
3492,424.0,1,6230.83,1,1,1,Lost
252,424.0,2,9705.8,1,1,1,Lost
1965,424.0,2,10378.37,1,1,1,Lost
2150,424.0,2,12789.59,1,2,2,Lost
2932,423.0,1,4253.24,1,1,1,Lost
4244,422.0,1,1464.71,1,1,1,Lost
589,422.0,1,9534.14,1,1,1,Lost
2402,422.0,2,7130.110000000001,1,1,1,Lost
3260,421.0,1,7696.53,1,1,1,Lost
3544,420.0,1,5462.64,1,1,1,Lost
2206,420.0,2,8801.42,1,1,1,Lost
3139,420.0,2,11562.67,1,1,2,Lost
3524,420.0,2,16142.489999999998,1,2,2,Lost
1520,419.0,1,486.4,1,1,1,Lost
4172,419.0,2,15551.23,1,2,2,Lost
3257,419.0,3,9654.32,1,2,1,Lost
4023,419.0,4,15760.44,1,2,2,Lost
1926,418.0,1,7104.63,1,1,1,Lost
1934,418.0,2,11465.259999999998,1,1,2,Lost
1500,418.0,2,15199.470000000001,1,2,2,Lost
1013,418.0,3,22677.71,1,2,2,Lost
2018,417.0,1,7809.73,1,1,1,Lost
4815,416.0,1,11629.13,1,1,2,Lost
4161,416.0,1,11711.89,1,1,2,Lost
4446,416.0,1,12389.61,1,1,2,Lost
2988,414.0,2,9527.79,1,1,1,Lost
2429,414.0,3,14736.79,1,2,2,Lost
3177,413.0,1,7342.59,1,1,1,Lost
2763,413.0,4,20632.34,1,2,2,Lost
3550,412.0,3,13878.75,1,2,2,Lost
3400,411.0,1,9310.16,1,1,1,Lost
1244,411.0,2,7587.23,1,1,1,Lost
4211,410.0,1,1218.44,1,1,1,Lost
3595,410.0,1,3833.48,1,1,1,Lost
3078,409.0,1,6990.79,1,1,1,Lost
4303,409.0,1,13292.32,1,1,2,Lost
3056,409.0,3,12862.94,1,2,2,Lost
901,409.0,4,30436.690000000002,1,2,3,Lost
3339,409.0,6,42881.0,1,3,4,At Risk (High Value)
4026,408.0,2,6529.150000000001,1,1,1,Lost
4943,408.0,4,19894.5,1,2,2,Lost
4158,407.0,1,1294.59,1,1,1,Lost
4901,407.0,2,1062.04,1,1,1,Lost
3704,407.0,3,26348.23,1,2,3,Lost
140,406.0,1,3975.99,1,1,1,Lost
3983,406.0,1,4309.79,1,1,1,Lost
2058,406.0,1,4700.25,1,1,1,Lost
1085,406.0,2,10715.68,1,1,1,Lost
871,404.0,1,2099.08,1,1,1,Lost
3169,403.0,2,1141.3000000000002,1,1,1,Lost
2984,403.0,2,11505.199999999999,1,1,2,Lost
3904,402.0,1,3100.23,1,1,1,Lost
2983,402.0,1,3778.1,1,1,1,Lost
1127,402.0,1,6611.87,1,1,1,Lost
1888,402.0,1,9462.77,1,1,1,Lost
1264,402.0,2,10793.64,1,1,2,Lost
1343,402.0,2,14879.740000000002,1,2,2,Lost
4444,401.0,1,1004.45,1,1,1,Lost
4152,401.0,1,1669.32,1,1,1,Lost
1683,401.0,2,17030.38,1,2,2,Lost
648,400.0,2,9118.25,1,1,1,Lost
1784,400.0,2,10659.57,1,1,1,Lost
4527,399.0,2,12602.539999999999,1,2,2,Lost
314,399.0,4,13811.52,1,2,2,Lost
1713,399.0,4,15542.97,1,2,2,Lost
835,398.0,1,4982.97,1,1,1,Lost
2689,398.0,2,5494.63,1,1,1,Lost
1753,398.0,2,7109.879999999999,1,1,1,Lost
4600,398.0,2,10636.27,1,1,1,Lost
1394,398.0,2,11623.740000000002,1,1,2,Lost
3117,398.0,4,14893.73,1,2,2,Lost
4555,397.0,3,21307.28,1,2,2,Lost
1346,397.0,4,26149.38,1,2,3,Lost
2826,396.0,2,13251.58,1,2,2,Lost
2597,396.0,3,9167.17,1,2,1,Lost
3325,396.0,3,18882.82,1,2,2,Lost
3016,396.0,3,22857.35,1,2,2,Lost
2453,395.0,2,12118.23,1,2,2,Lost
1819,395.0,3,21161.239999999998,1,2,2,Lost
4721,395.0,4,10762.85,1,2,2,Lost
2273,394.0,1,5514.68,1,1,1,Lost
3962,394.0,1,5901.84,1,1,1,Lost
4403,394.0,2,4053.59,1,1,1,Lost
1821,394.0,5,48183.77,1,3,4,At Risk (High Value)
2392,393.0,2,7303.08,1,1,1,Lost
3563,392.0,1,801.09,1,1,1,Lost
1796,392.0,1,5059.39,1,1,1,Lost
2967,392.0,2,8083.299999999999,1,1,1,Lost
1801,392.0,2,9194.94,1,1,1,Lost
2103,390.0,1,9304.94,1,1,1,Lost
2431,390.0,4,18656.52,1,2,2,Lost
4693,390.0,6,27069.53,1,3,3,At Risk (High Value)
1850,388.0,1,9262.23,1,1,1,Lost
3625,388.0,2,6285.0,1,1,1,Lost
1399,387.0,1,3740.55,1,1,1,Lost
3567,387.0,1,5311.96,1,1,1,Lost
2948,387.0,3,24386.3,1,2,3,Lost
4766,387.0,5,23268.98,1,3,3,At Risk (High Value)
1735,387.0,7,41051.08,1,3,4,At Risk (High Value)
4782,386.0,1,7423.56,1,1,1,Lost
2553,385.0,1,556.44,1,1,1,Lost
986,385.0,5,21036.04,1,3,2,Needs Attention
347,384.0,1,1764.54,1,1,1,Lost
4355,384.0,2,17648.54,1,2,2,Lost
1695,383.0,3,10440.54,1,2,1,Lost
3513,383.0,3,14723.300000000001,1,2,2,Lost
684,382.0,2,23354.64,1,2,3,Lost
3405,382.0,5,20308.23,1,3,2,Needs Attention
2351,381.0,1,2646.81,1,1,1,Lost
2295,381.0,1,6980.71,1,1,1,Lost
2866,381.0,1,7196.64,1,1,1,Lost
1637,381.0,2,9526.58,1,1,1,Lost
2383,381.0,4,12440.5,1,2,2,Lost
4255,381.0,6,36835.78,1,3,3,At Risk (High Value)
265,380.0,1,1004.45,1,1,1,Lost
1951,380.0,1,2283.64,1,1,1,Lost
1210,380.0,2,17943.45,1,2,2,Lost
4171,380.0,4,18136.27,1,2,2,Lost
3459,379.0,1,7190.13,1,1,1,Lost
4832,379.0,2,11759.550000000001,1,2,2,Lost
2226,378.0,2,12866.22,1,2,2,Lost
2925,378.0,2,14693.880000000001,1,2,2,Lost
406,378.0,7,31698.48,1,3,3,At Risk (High Value)
1157,377.0,1,2769.0,1,1,1,Lost
1277,377.0,1,6614.4,1,1,1,Lost
1007,377.0,2,15893.7,1,2,2,Lost
542,376.0,1,8854.57,1,1,1,Lost
156,376.0,5,10768.84,1,3,2,Needs Attention
1440,376.0,5,36571.22,1,3,3,At Risk (High Value)
4383,375.0,1,447.94,1,1,1,Lost
1294,375.0,1,2517.26,1,1,1,Lost
2214,375.0,2,13393.869999999999,1,2,2,Lost
1169,375.0,2,19721.07,1,2,2,Lost
4048,375.0,4,18420.399999999998,1,2,2,Lost
96,375.0,5,29125.300000000003,1,3,3,At Risk (High Value)
246,374.0,1,1049.54,1,1,1,Lost
3116,374.0,2,6324.8099999999995,1,1,1,Lost
2265,374.0,2,14423.46,1,2,2,Lost
2588,374.0,5,43987.01,1,3,4,At Risk (High Value)
3960,373.0,1,780.54,1,1,1,Lost
2949,373.0,1,9813.74,1,1,1,Lost
3364,373.0,2,13712.55,1,2,2,Lost
4195,373.0,5,34353.17,1,3,3,At Risk (High Value)
1643,372.0,2,20874.85,1,2,2,Lost
916,372.0,4,9541.81,1,2,1,Lost
2569,371.0,1,3238.05,1,1,1,Lost
1345,371.0,1,7251.1,1,1,1,Lost
3380,371.0,2,14985.61,1,2,2,Lost
4082,370.0,1,2292.74,1,1,1,Lost
1818,369.0,1,5027.53,1,1,1,Lost
4050,369.0,2,16871.99,1,2,2,Lost
243,369.0,4,24380.36,1,2,3,Lost
514,368.0,1,1249.77,1,1,1,Lost
3225,368.0,2,9387.25,1,1,1,Lost
520,368.0,2,17467.699999999997,1,2,2,Lost
2037,368.0,4,23889.03,1,2,3,Lost
2557,367.0,2,22874.98,1,2,3,Lost
516,367.0,4,22365.04,1,2,2,Lost
4678,366.0,4,17704.22,1,2,2,Lost
3168,365.0,5,26688.12,1,3,3,At Risk (High Value)
774,364.0,1,3213.86,1,1,1,Lost
1635,364.0,2,8794.119999999999,1,1,1,Lost
1612,363.0,1,8056.11,1,1,1,Lost
358,362.0,1,10287.91,1,1,1,Lost
3609,362.0,2,13556.92,1,2,2,Lost
623,361.0,1,1049.54,1,1,1,Lost
2709,360.0,1,4271.44,1,1,1,Lost
1055,360.0,2,13433.93,1,2,2,Lost
380,359.0,6,42150.4,1,3,4,At Risk (High Value)
2959,358.0,2,6822.91,1,1,1,Lost
205,357.0,1,4121.85,1,1,1,Lost
3921,357.0,1,5229.36,1,1,1,Lost
3501,356.0,2,12169.060000000001,1,2,2,Lost
2685,356.0,2,12365.240000000002,1,2,2,Lost
1409,355.0,1,10733.79,1,1,2,Lost
4363,354.0,1,985.65,1,1,1,Lost
4137,354.0,1,1381.69,1,1,1,Lost
1247,354.0,1,5494.83,1,1,1,Lost
1325,354.0,1,7786.63,1,1,1,Lost
3303,354.0,2,5917.35,1,1,1,Lost
4727,353.0,1,8700.79,1,1,1,Lost
2102,353.0,2,16100.83,1,2,2,Lost
2043,353.0,3,22861.75,1,2,2,Lost
3687,353.0,4,27695.98,1,2,3,Lost
1921,352.0,3,17645.63,1,2,2,Lost
4260,351.0,1,1566.75,1,1,1,Lost
2292,351.0,2,4149.16,1,1,1,Lost
2518,351.0,3,24659.38,1,2,3,Lost
4862,350.0,5,22901.11,1,3,3,At Risk (High Value)
3830,349.0,1,3776.07,1,1,1,Lost
4331,349.0,1,5786.67,1,1,1,Lost
4018,349.0,1,7395.11,1,1,1,Lost
3287,349.0,4,27746.75,1,2,3,Lost
4560,349.0,7,43921.71,1,4,4,At Risk (High Value)
4568,349.0,7,45196.24,1,4,4,At Risk (High Value)
3007,348.0,1,10329.64,1,1,1,Lost
447,348.0,5,19642.45,1,3,2,Needs Attention
3382,347.0,1,5728.91,1,1,1,Lost
3808,347.0,5,36940.61,1,3,3,At Risk (High Value)
4326,347.0,6,26144.420000000002,1,3,3,At Risk (High Value)
2908,347.0,7,27927.89,1,3,3,At Risk (High Value)
2024,347.0,10,58264.96,1,4,4,At Risk (High Value)
1352,346.0,3,27931.39,1,2,3,Lost
1999,345.0,2,14665.33,1,2,2,Lost
2693,345.0,3,9452.16,1,2,1,Lost
3397,345.0,4,12499.99,1,2,2,Lost
2482,344.0,2,14080.93,1,2,2,Lost
172,343.0,2,3901.5499999999997,1,1,1,Lost
3671,343.0,2,11624.779999999999,1,1,2,Lost
1170,343.0,5,16884.63,1,3,2,Needs Attention
3833,342.0,1,4982.97,1,1,1,Lost
4746,342.0,2,11652.17,1,1,2,Lost
953,342.0,2,12517.720000000001,1,2,2,Lost
4893,342.0,4,15968.72,1,2,2,Lost
4434,341.0,1,1992.75,1,1,1,Lost
2672,341.0,1,6692.25,1,1,1,Lost
388,341.0,2,14392.220000000001,1,2,2,Lost
3988,341.0,2,17168.49,1,2,2,Lost
1334,341.0,7,25164.1,1,3,3,At Risk (High Value)
489,341.0,8,56313.07,1,4,4,At Risk (High Value)
1802,340.0,1,7928.9,1,1,1,Lost
3028,340.0,3,12464.82,1,2,2,Lost
2856,339.0,1,1672.8,1,1,1,Lost
4503,339.0,1,4700.25,1,1,1,Lost
2917,339.0,1,7272.97,1,1,1,Lost
4858,339.0,2,9494.41,1,1,1,Lost
2947,339.0,2,14965.43,1,2,2,Lost
4581,338.0,1,1749.61,1,1,1,Lost
4496,338.0,1,3118.12,1,1,1,Lost
3957,338.0,1,8131.1,1,1,1,Lost
4239,338.0,2,3791.89,1,1,1,Lost
2114,338.0,2,8196.84,1,1,1,Lost
3276,338.0,2,13127.119999999999,1,2,2,Lost
1809,338.0,2,16452.5,1,2,2,Lost
1429,338.0,2,17311.809999999998,1,2,2,Lost
663,337.0,2,12049.39,1,2,2,Lost
217,337.0,2,15194.210000000001,1,2,2,Lost
4964,336.0,2,16469.940000000002,1,2,2,Lost
2556,336.0,3,22974.64,1,2,3,Lost
4972,336.0,3,24682.23,1,2,3,Lost
1932,336.0,6,28768.79,1,3,3,At Risk (High Value)
4914,335.0,1,4823.51,1,1,1,Lost
2423,335.0,1,8182.43,1,1,1,Lost
3296,335.0,2,19625.940000000002,1,2,2,Lost
2548,335.0,4,28500.34,1,2,3,Lost
1296,334.0,1,1079.83,1,1,1,Lost
2420,334.0,1,2854.21,1,1,1,Lost
3797,334.0,2,3921.23,1,1,1,Lost
566,334.0,2,6444.22,1,1,1,Lost
2687,334.0,5,17336.53,1,3,2,Needs Attention
513,333.0,1,6016.08,1,1,1,Lost
1971,333.0,1,9182.56,1,1,1,Lost
3043,333.0,2,1694.9,1,1,1,Lost
1228,333.0,2,9030.349999999999,1,1,1,Lost
2135,333.0,2,10199.0,1,1,1,Lost
1761,332.0,1,6621.19,1,1,1,Lost
2778,332.0,3,21592.769999999997,1,2,2,Lost
2203,332.0,7,28028.61,1,3,3,At Risk (High Value)
3811,331.0,1,7754.76,1,1,1,Lost
1071,331.0,2,11173.74,1,1,2,Lost
1894,331.0,2,13613.74,1,2,2,Lost
1898,331.0,2,17699.62,1,2,2,Lost
999,331.0,4,15831.53,1,2,2,Lost
3934,331.0,4,22410.32,1,2,2,Lost
2799,331.0,4,22930.89,1,2,3,Lost
3452,331.0,4,27146.86,1,2,3,Lost
